Year,Region,Zone,Site,Total Fish Densit_mean,Total Fish Densit_SE,Fish Species richness_mean,Fish Species richness_SE,Fishery Target Spp_mean,Fishery Target Spp_SE,Grazers_mean,Grazers_SE,Corallivores_mean,Coraliivores_SE,Planktivores_mean,Planktivores_SE,Territorial Pomacentrids_mean,Territorial Pomacentrids_SE,Plectropomus spp_mean,Plectropomus spp_SE,SCI_mean,SCI_SE,LCC_mean,LCC_SE,LHC_mean,LHC_SE,MAC_mean,MAC_SE
2002,Whitsunday,Fished,W3,,,,,18.7,4.8,,,,,,,,,8,2.5,14.2,1.4,48.8,4.1,26.4,7,16,4.2
2002,Whitsunday,Fished,W4,,,,,25.3,6.5,,,,,,,,,14.7,3.9,14.1,0.5,16.8,2.3,9.6,2.4,51.2,3.4
2002,Whitsunday,Fished,W5,,,,,14,4.6,,,,,,,,,2,1.3,15.5,0.7,67.2,4.5,59.2,12,11.2,4.3
2002,Whitsunday,Fished,W6,,,,,13.3,2.8,,,,,,,,,4,1.2,12.3,1.3,15.2,2.9,8,3.3,58.4,3.9
2002,Whitsunday,NTR 1987,B1,,,,,35.3,18.2,,,,,,,,,9.3,3.2,8.2,0.3,52,5.9,26.4,4.8,12.8,3.7
2002,Whitsunday,NTR 1987,B2,,,,,28,9.2,,,,,,,,,20.7,5.5,7.1,0.5,48,11.1,35.2,13.3,0,0
2002,Whitsunday,NTR 1987,B3,,,,,16.7,2.4,,,,,,,,,5.3,0.8,7.5,0.8,88,5.9,77.6,5.5,0,0
2002,Whitsunday,NTR 1987,B4,,,,,8,2.7,,,,,,,,,4,1.2,4.4,0.3,80,2.2,57.6,6.3,18.4,2.7
2002,Whitsunday,NTR 1987,B5,,,,,5.3,1.7,,,,,,,,,3.3,1.1,8,0.7,70.4,6,65.6,7,0.8,0.8
2002,Whitsunday,NTR 1987,B6,,,,,6.7,1.5,,,,,,,,,4,1.9,11.1,0.8,62.4,4.3,40.8,5,7.2,2
2002,Whitsunday,NTR 1987,HG1,,,,,11.3,3.3,,,,,,,,,3.3,2.6,12.4,0.6,30.4,6.4,17.6,7.9,24.8,5.4
2002,Whitsunday,NTR 1987,HG2,,,,,20.7,7.4,,,,,,,,,2,1.3,8.3,1.3,45.6,4.3,41.6,5.5,0,0
2002,Whitsunday,NTR 1987,HG3,,,,,8,2.5,,,,,,,,,4.7,1.3,13.1,0.7,34.4,6.9,24.8,4.3,29.6,5.6
2002,Whitsunday,NTR 1987,HG4,,,,,8.7,3.7,,,,,,,,,4,0.7,11.7,1.8,71.2,3.7,64,2.2,12,2.5
2002,Whitsunday,NTR 1987,HG5,,,,,6,2.9,,,,,,,,,4,1.6,8.7,0.8,62.4,4.1,32.8,3.4,12,3.8
2002,Whitsunday,NTR 1987,HG6,,,,,13.3,5.3,,,,,,,,,1.3,1.3,13.4,0.9,59.2,6.9,38.4,2.4,20,3.6
2003,Palm,Fished,PE1,,,,,37.3,11.4,,,,,,,,,2,0.8,3.8,0.2,64,6.3,18.4,3.7,0.8,0.8
2003,Palm,Fished,PE2,,,,,7.3,1.2,,,,,,,,,2.7,1.2,1.5,0.4,74.4,4.1,66.4,3.9,0,0
2003,Palm,Fished,PE3,,,,,12.7,3.2,,,,,,,,,0.7,0.7,5.6,0.3,59.2,2,38.4,3,0,0
2003,Palm,Fished,PE4,,,,,8.7,2.5,,,,,,,,,0.7,0.7,7.2,0.5,36.8,2,29.6,2,2.4,1.6
2003,Palm,Fished,PE5,,,,,7.3,2.7,,,,,,,,,0,0,12,1.3,24.8,3.9,16,3.3,0,0
2003,Palm,Fished,PE6,,,,,12.7,2.9,,,,,,,,,3.3,1.5,5.8,0.2,13.6,2.7,5.6,1.6,0,0
2003,Palm,Fished,PS1,,,,,21.3,1.7,,,,,,,,,4.7,0.8,5.8,1,56,1.8,21.6,4.8,0,0
2003,Palm,Fished,PS2,,,,,14.7,6.1,,,,,,,,,4.7,2.5,7.9,1,43.2,2.3,38.4,2.7,2.4,2.4
2003,Palm,Fished,PS3,,,,,12.7,1.9,,,,,,,,,3.3,1.1,4.4,0.4,44,4.7,24.8,5.3,0.8,0.8
2003,Palm,Fished,PS4,,,,,17.3,6.6,,,,,,,,,8.7,2.9,6.5,0.3,38.4,4.8,27.2,6.9,0.8,0.8
2003,Palm,Fished,PS5,,,,,20,5.3,,,,,,,,,6.7,2.4,7.5,1,48,9.2,28,6.1,0.8,0.8
2003,Palm,Fished,PS6,,,,,26,3.2,,,,,,,,,19.3,3.7,7,0.6,43.2,8,22.4,7.4,0,0
2003,Palm,NTR 1987,OE1,,,,,28,4.8,,,,,,,,,8.7,2.3,6.5,1,65.6,3,21.6,2.7,0.8,0.8
2003,Palm,NTR 1987,OE2,,,,,28,5.7,,,,,,,,,6,1.2,5.4,0.3,74.4,5,20,2.8,0,0
2003,Palm,NTR 1987,OE3,,,,,33.3,10.9,,,,,,,,,13.3,4.2,9,0,72.8,3.9,19.2,2.7,0,0
2003,Palm,NTR 1987,OE4,,,,,28.7,5.2,,,,,,,,,7.3,2.4,7.1,0.6,72.8,4.6,31.2,2.7,2.4,1.6
2003,Palm,NTR 1987,OE5,,,,,20,4.3,,,,,,,,,6.7,1.8,11.7,2.4,47.2,5.1,18.4,4.5,0,0
2003,Palm,NTR 1987,OE6,,,,,5.3,2.3,,,,,,,,,0.7,0.7,5.3,0.6,75.2,2.7,44,3.8,0,0
2003,Palm,NTR 1987,OS1,,,,,51.3,9,,,,,,,,,16,3.6,8.9,0.1,42.4,3.7,40,4.6,0,0
2003,Palm,NTR 1987,OS2,,,,,21.3,2.7,,,,,,,,,8,2,4.8,0.5,28,3.6,17.6,2.7,1.6,1
2003,Palm,NTR 1987,OS3,,,,,33.3,10.7,,,,,,,,,12,2.7,6.8,0.6,52,5.2,20,2.5,0,0
